refresh_interval,refreshes_per_32_steps,refresh_fraction,mean_normalized_l2,worst_step_normalized_l2,mean_output_kl,worst_step_output_kl,boundary_output_kl,mean_top1_agreement,worst_step_top1_agreement
1,32,1.0,0.18443947844207287,0.2781243324279785,1.3263314440846443,1.7791759967803955,1.3263314440846443,0.35507812444120646,0.1875
2,16,0.5,0.19265056727454066,0.2781243324279785,1.4470510594546795,1.8755826950073242,1.5801852867007256,0.33945312490686774,0.17499999701976776
4,8,0.25,0.19902898790314794,0.2781243324279785,1.556532721966505,1.9349393844604492,1.7561739087104797,0.3164062504656613,0.13750000298023224
8,4,0.125,0.20454936241731048,0.2781243324279785,1.6693142279982567,2.0532491207122803,1.9525579810142517,0.3082031235098839,0.13750000298023224
16,2,0.0625,0.21047915006056428,0.32126396894454956,1.8014660850167274,2.314002752304077,1.9865182638168335,0.2992187486961484,0.1875
32,1,0.03125,0.21428626496344805,0.3183434307575226,1.9540821425616741,2.5149102210998535,2.23821759223938,0.30117187183350325,0.1875
