horizon,h1_ood_to_id_output_kl_ratio,h8_ood_to_id_output_kl_ratio,h1_ood_minus_id_top1_points,h8_ood_minus_id_top1_points,id_h8_output_kl_reduction_percent,ood_h8_output_kl_reduction_percent,id_h8_top1_gain_points,ood_h8_top1_gain_points
1,3.3829003968533846,2.3017857960099457,-31.998218550434938,-29.36882755233132,-88.92538786695206,-28.54820517397195,-7.890363123423394,-5.260972125319779
2,1.767969104178878,2.146915359735475,-26.331790207181726,-28.34489894141614,22.860237131083416,6.326110926838311,5.519554590707799,3.506445856473378
4,1.3260573095499557,2.040473979141086,-19.760811864557482,-27.16391906608263,44.959096577394725,15.30567313085451,14.420606823291248,7.017499621766099
8,1.197877545864561,1.905699857939854,-16.271480662424153,-25.805802073032886,51.19907360743142,22.36275000335776,18.729046294873925,9.194724884265192
16,1.1622945497056703,1.7566254376916597,-14.675373827826938,-23.976909435489212,56.1192702213833,33.68117731162761,22.822182466056063,13.520646858393798
32,1.3756656756635424,1.6007466367748908,-13.725618757841046,-22.405332398485218,66.2831497410002,60.76653244349979,30.89594417554417,22.216230534900003
