model,domain,gamma,prompt_index,cluster_id,trial_index,position,drafted_rounds,reached_rounds,accepted_tokens
H1,TinyStories validation,2,10,10,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,10,10,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,10,10,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,10,10,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,10,10,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,11,11,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,11,11,0,2,11.0,11.0,11.0
H1,TinyStories validation,2,11,11,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,11,11,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,11,11,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,11,11,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,11,11,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,11,11,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,12,12,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,12,12,0,2,11.0,11.0,10.0
H1,TinyStories validation,2,12,12,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,12,12,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,12,12,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,12,12,2,2,11.0,11.0,10.0
H1,TinyStories validation,2,12,12,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,12,12,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,13,13,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,13,13,0,2,13.0,13.0,7.0
H1,TinyStories validation,2,13,13,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,13,13,1,2,11.0,11.0,10.0
H1,TinyStories validation,2,13,13,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,13,13,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,13,13,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,13,13,3,2,12.0,12.0,8.0
H1,TinyStories validation,2,14,14,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,14,14,0,2,11.0,11.0,10.0
H1,TinyStories validation,2,14,14,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,14,14,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,14,14,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,14,14,2,2,12.0,12.0,8.0
H1,TinyStories validation,2,14,14,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,14,14,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,15,15,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,15,15,0,2,13.0,13.0,7.0
H1,TinyStories validation,2,15,15,1,1,13.0,13.0,13.0
H1,TinyStories validation,2,15,15,1,2,12.0,12.0,7.0
H1,TinyStories validation,2,15,15,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,15,15,2,2,11.0,11.0,11.0
H1,TinyStories validation,2,15,15,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,15,15,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,16,16,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,16,16,0,2,12.0,12.0,7.0
H1,TinyStories validation,2,16,16,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,16,16,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,16,16,2,1,13.0,13.0,12.0
H1,TinyStories validation,2,16,16,2,2,13.0,12.0,7.0
H1,TinyStories validation,2,16,16,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,16,16,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,17,17,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,17,17,0,2,11.0,11.0,10.0
H1,TinyStories validation,2,17,17,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,17,17,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,17,17,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,17,17,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,17,17,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,17,17,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,18,18,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,18,18,0,2,12.0,12.0,8.0
H1,TinyStories validation,2,18,18,1,1,13.0,13.0,13.0
