objective,objective_weight,best_epoch,baseline_validation_loss,best_validation_loss,baseline_expected_beyond_first,best_expected_beyond_first,baseline_decoder_kl,best_decoder_kl,baseline_local_lk,best_local_lk,baseline_survival_lk,best_survival_lk
decoder_kl,0.08089842743268583,0,1.3618221759796143,1.3618221759796143,0.7497123003005981,0.7497123003005981,2.0494134426116943,2.0494134426116943,0.6169461101293564,0.6169461101293564,0.8928982228040695,0.8928982228040695
local_lk,0.6677561205854412,0,1.6079973995685577,1.6079973995685577,0.7497123003005981,0.7497123003005981,2.0494134426116943,2.0494134426116943,0.6169461101293564,0.6169461101293564,0.8928982228040695,0.8928982228040695
survival_lk,1.036221296608552,2,2.1212679624557493,2.1186966776847838,0.7497123003005981,0.7327538162469864,2.0494134426116943,2.0413773119449616,0.6169461101293564,0.6214712858200073,0.8928982228040695,0.8953208744525909
