domain,gamma,prompt_index,cluster_id,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,2,45,45,-0.03205128205128205,-0.012820512820512803,0.0,-0.05128205128205121,-0.78125
TinyStories validation,2,46,46,-0.033945221445221385,-0.03394522144522147,-0.03394522144522147,0.009324009324009452,0.0
TinyStories validation,2,47,47,0.09265734265734266,0.09265734265734266,0.08143939393939392,0.11188811188811187,1.5625
TinyStories validation,2,48,48,0.0,0.0,0.02826340326340329,0.0,0.0
TinyStories validation,2,49,49,-0.17759324009324007,-0.15996503496503495,-0.1359265734265734,-0.2144522144522143,-3.125
TinyStories validation,2,50,50,0.023809523809523836,0.062499999999999986,0.021540959040959026,0.06060606060606066,0.78125
TinyStories validation,2,51,51,-0.11538461538461536,-0.11538461538461539,-0.12121212121212122,-0.11188811188811187,-1.5625
TinyStories validation,2,52,52,-0.19682400932400934,-0.1968240093240093,-0.17438811188811185,-0.2144522144522143,-3.125
TinyStories validation,2,53,53,-0.1006701631701632,-0.10067016317016317,-0.11771561771561773,-0.06060606060606066,-0.78125
TinyStories validation,2,54,54,-0.05128205128205132,-0.051282051282051266,-0.027368464868464837,-0.05128205128205121,-0.78125
TinyStories validation,2,55,55,0.022727272727272707,0.022727272727272735,0.022727272727272735,0.0,0.0
TinyStories validation,2,56,56,-0.03977272727272729,-0.039772727272727265,-0.022727272727272707,-0.06060606060606066,-0.78125
TinyStories validation,2,57,57,0.11349067599067597,0.07342657342657341,0.07342657342657341,0.11188811188811187,1.5625
TinyStories validation,2,58,58,-0.07211538461538464,-0.07211538461538461,-0.07794289044289043,-0.05128205128205121,-0.78125
TinyStories validation,2,59,59,-0.12310606060606061,-0.12310606060606061,-0.08901515151515149,-0.12121212121212133,-1.5625
TinyStories validation,2,60,60,-0.21765734265734266,-0.20002913752913754,-0.21008158508158511,-0.2144522144522143,-3.125
TinyStories validation,2,61,61,-0.13621794871794868,-0.11538461538461539,-0.12121212121212122,-0.11188811188811187,-1.5625
TinyStories validation,2,62,62,-0.2253787878787879,-0.22537878787878787,-0.2312062937062937,-0.22377622377622375,-3.125
TinyStories validation,2,63,63,-0.011217948717948734,-0.011217948717948706,2.7755575615628914e-17,-0.05128205128205121,-0.78125
TinyStories validation,2,64,64,-0.07182400932400934,-0.09265734265734266,-0.08143939393939392,-0.11188811188811187,-1.5625
TinyStories validation,2,65,65,-0.017045454545454586,-0.01704545454545453,-0.01704545454545453,-0.06060606060606066,-0.78125
TinyStories validation,2,66,66,-0.23093573093573094,-0.21010239760239757,-0.2543706293706294,-0.2071262071262071,-3.125
TinyStories validation,2,67,67,-0.07182400932400934,-0.07182400932400931,-0.04356060606060602,-0.11188811188811187,-1.5625
TinyStories validation,2,68,68,-0.1895604395604396,-0.19093406593406592,-0.19973776223776224,-0.14652014652014644,-2.34375
TinyStories validation,2,69,69,-0.06060606060606061,-0.06060606060606061,-0.04356060606060605,-0.06060606060606066,-0.78125
TinyStories validation,2,70,70,0.014880952380952384,0.01488095238095237,0.042103729603729614,0.03463203463203457,0.78125
TinyStories validation,2,71,71,-0.15326340326340326,-0.15326340326340326,-0.10795454545454541,-0.17249417249417254,-2.34375
TinyStories validation,2,72,72,-0.08143939393939392,-0.08143939393939395,-0.08143939393939395,-0.06060606060606066,-0.78125
TinyStories validation,2,73,73,-0.03977272727272729,-0.039772727272727265,-0.039772727272727265,-0.06060606060606066,-0.78125
TinyStories validation,2,74,74,0.018939393939393978,0.018939393939393923,0.0018939393939393645,0.06060606060606066,0.78125
TinyStories validation,2,75,75,-0.18371212121212127,-0.1837121212121212,-0.16666666666666663,-0.22377622377622375,-3.125
TinyStories validation,2,76,76,-0.054778554778554756,-0.07400932400932403,-0.05157342657342656,-0.05128205128205121,-0.78125
TinyStories validation,2,77,77,-0.1401515151515152,-0.14015151515151514,-0.12310606060606058,-0.181818181818182,-2.34375
TinyStories validation,2,78,78,-0.09294871794871795,-0.09294871794871795,-0.10999417249417251,-0.05128205128205121,-0.78125
TinyStories validation,2,79,79,-0.14204545454545459,-0.10198135198135197,-0.09076340326340324,-0.16317016317016309,-2.34375
TinyStories validation,2,80,80,-0.1474358974358974,-0.16666666666666669,-0.14423076923076922,-0.16317016317016309,-2.34375
TinyStories validation,2,81,81,0.020833333333333315,0.020833333333333343,0.0378787878787879,0.0,0.0
TinyStories validation,2,82,82,-0.14554195804195802,-0.14554195804195805,-0.1625874125874126,-0.16317016317016309,-2.34375
TinyStories validation,2,83,83,0.11349067599067597,0.09425990675990675,0.0772144522144522,0.11188811188811187,1.5625
TinyStories validation,2,84,84,0.059003496503496566,0.05900349650349648,0.06439393939393939,0.06060606060606066,0.78125
TinyStories validation,2,85,85,-0.01311188811188807,-0.013111888111888126,-0.03598484848484851,0.009324009324009452,0.0
TinyStories validation,2,86,86,-0.12660256410256404,-0.12660256410256412,-0.12121212121212122,-0.10256410256410242,-1.5625
TinyStories validation,2,87,87,-0.0018939393939393367,-0.00189393939393942,-0.035984848484848536,0.06060606060606066,0.78125
TinyStories validation,2,88,88,-0.12150349650349657,-0.12150349650349648,-0.10445804195804193,-0.12121212121212133,-1.5625
TinyStories validation,2,89,89,0.1247086247086247,0.10547785547785546,0.09848484848484848,0.16317016317016309,2.34375
TinyStories validation,2,90,90,-0.1003787878787879,-0.10037878787878787,-0.10037878787878787,-0.12121212121212133,-1.5625
TinyStories validation,2,91,91,-0.17003829503829504,-0.17003829503829504,-0.1461247086247086,-0.2071262071262071,-3.125
TinyStories validation,2,92,92,-0.13243006993006995,-0.13243006993006992,-0.10416666666666663,-0.17249417249417254,-2.34375
TinyStories validation,2,93,93,0.03205128205128205,0.012820512820512803,-0.017045454545454558,0.05128205128205121,0.78125
TinyStories validation,2,94,94,-0.07561188811188807,-0.07561188811188813,-0.09265734265734268,-0.05128205128205121,-0.78125
TinyStories validation,2,95,95,-0.31993006993006995,-0.3199300699300699,-0.2804487179487179,-0.3356643356643356,-4.6875
TinyStories validation,2,96,96,0.07371794871794868,0.09455128205128208,0.06628787878787878,0.05128205128205121,0.78125
TinyStories validation,2,97,97,-0.22887529137529133,-0.2288752913752914,-0.22348484848484848,-0.22377622377622375,-3.125
TinyStories validation,2,98,98,-0.01311188811188807,-0.013111888111888126,-0.007721445221445217,0.009324009324009452,0.0
TinyStories validation,2,99,99,-0.04166666666666663,-0.041666666666666685,-0.05871212121212124,0.0,0.0
TinyStories validation,2,100,100,-0.125,-0.125,-0.17613636363636367,-0.10256410256410242,-1.5625
TinyStories validation,2,101,101,-0.1003787878787879,-0.11960955710955712,-0.09134615384615383,-0.12121212121212133,-1.5625
TinyStories validation,2,102,102,-0.08143939393939392,-0.10227272727272729,-0.13825757575757577,-0.06060606060606066,-0.78125
TinyStories validation,2,103,103,-0.1474358974358974,-0.14743589743589744,-0.164481351981352,-0.16317016317016309,-2.34375
TinyStories validation,2,104,104,-0.09265734265734266,-0.09265734265734266,-0.09265734265734266,-0.11188811188811187,-1.5625
TinyStories validation,2,105,105,-0.08143939393939392,-0.08143939393939395,-0.08143939393939395,-0.06060606060606066,-0.78125
TinyStories validation,2,106,106,-0.07371794871794868,-0.07371794871794873,-0.1035839160839161,-0.05128205128205121,-0.78125
TinyStories validation,2,107,107,-0.23688811188811193,-0.23688811188811187,-0.270979020979021,-0.2144522144522143,-3.125
TinyStories validation,2,108,108,-0.08493589743589741,-0.0657051282051282,-0.08697552447552451,-0.10256410256410242,-1.5625
TinyStories validation,2,109,109,0.020833333333333315,0.0,-0.017045454545454558,0.0,0.0
TinyStories validation,2,110,110,-0.09265734265734266,-0.09265734265734266,-0.08143939393939392,-0.11188811188811187,-1.5625
TinyStories validation,2,111,111,-0.2192599067599067,-0.21925990675990678,-0.24213286713286716,-0.2144522144522143,-3.125
TinyStories validation,2,112,112,-0.09294871794871795,-0.09294871794871795,-0.12121212121212124,-0.05128205128205121,-0.78125
TinyStories validation,2,113,113,0.04166666666666663,0.041666666666666685,0.05871212121212124,0.0,0.0
TinyStories validation,2,114,114,-0.09265734265734266,-0.09265734265734266,-0.06439393939393936,-0.11188811188811187,-1.5625
TinyStories validation,2,115,115,-0.13432400932400934,-0.1343240093240093,-0.11727855477855476,-0.17249417249417254,-2.34375
TinyStories validation,2,116,116,-0.0077214452214452445,-0.007721445221445217,-0.053030303030303066,-0.009324009324009452,0.0
TinyStories validation,2,117,117,-0.09455128205128199,-0.09455128205128208,-0.11742424242424246,-0.05128205128205121,-0.78125
TinyStories validation,2,118,118,-0.13621794871794868,-0.11698717948717949,-0.13403263403263405,-0.11188811188811187,-1.5625
TinyStories validation,2,119,119,-0.09455128205128205,-0.0753205128205128,-0.08114801864801863,-0.09324009324009297,-1.5625
TinyStories validation,2,120,120,-0.0077214452214452445,-0.007721445221445217,-0.03598484848484851,-0.009324009324009452,0.0
TinyStories validation,2,121,121,-0.16637529137529133,-0.18720862470862473,-0.21008158508158511,-0.16317016317016309,-2.34375
TinyStories validation,2,122,122,-0.07561188811188807,-0.037150349650349634,-0.0056818181818182045,-0.05128205128205121,-0.78125
TinyStories validation,2,123,123,0.05871212121212127,0.05871212121212119,0.05288461538461536,0.12121212121212133,1.5625
TinyStories validation,2,124,124,-0.03205128205128205,-0.03205128205128205,-0.020833333333333315,-0.05128205128205121,-0.78125
TinyStories validation,2,125,125,-0.15721778221778226,-0.15859140859140858,-0.15034965034965034,-0.1558441558441559,-2.34375
TinyStories validation,2,126,126,-0.23659673659673663,-0.23659673659673658,-0.2141608391608391,-0.27505827505827496,-3.90625
TinyStories validation,2,127,127,0.0301573426573426,0.050990675990676027,0.050990675990676027,0.009324009324009452,0.0
TinyStories validation,4,0,0,-0.16746794871794862,-0.16746794871794876,-0.057096848401196276,-0.16239316239316226,-2.34375
TinyStories validation,4,1,1,-0.3208333333333334,-0.3208333333333333,-0.11001751871317086,-0.3111111111111111,-2.34375
TinyStories validation,4,2,2,-0.3291666666666665,-0.3291666666666667,-0.12440928324549015,-0.29494949494949496,-3.125
TinyStories validation,4,3,3,-0.3506944444444444,-0.3506944444444445,-0.14885324431801192,-0.28888888888888875,-2.34375
TinyStories validation,4,4,4,-0.3060606060606059,-0.3060606060606061,-0.11756425222081505,-0.25050505050505034,-2.34375
TinyStories validation,4,5,5,-0.2881944444444444,-0.2881944444444445,-0.12393149674399671,-0.2222222222222222,-2.34375
TinyStories validation,4,6,6,-0.3400883838383839,-0.3400883838383838,-0.09128871552127162,-0.3111111111111111,-2.34375
TinyStories validation,4,7,7,-0.22499999999999987,-0.22500000000000003,-0.06544629470978797,-0.19999999999999996,-1.5625
TinyStories validation,4,8,8,-0.02777777777777779,-0.02777777777777779,-0.0010714285714285565,0.0,0.0
TinyStories validation,4,9,9,0.0758838383838385,0.07588383838383836,0.031210648540592467,0.03838383838383841,0.0
TinyStories validation,4,10,10,-0.10902777777777795,-0.10902777777777772,-0.03329777418982817,-0.13333333333333353,-0.78125
TinyStories validation,4,11,11,0.31785714285714295,0.3178571428571429,0.06639591997628704,0.34285714285714275,2.34375
TinyStories validation,4,12,12,0.30079365079365084,0.30079365079365084,0.11718877187627189,0.2378066378066379,1.5625
TinyStories validation,4,13,13,-0.14494949494949483,-0.14494949494949497,-0.014884333676046704,-0.1454545454545455,-1.5625
TinyStories validation,4,14,14,-0.02013888888888893,-0.020138888888888873,-0.0283984533984534,-0.016161616161616044,0.0
TinyStories validation,4,15,15,-0.39236111111111105,-0.425189393939394,-0.14379387973137972,-0.43434343434343425,-3.90625
TinyStories validation,4,16,16,-0.1692550505050504,-0.14147727272727276,-0.05598861148430115,-0.1454545454545455,-1.5625
TinyStories validation,4,17,17,-0.3161616161616161,-0.3161616161616162,-0.0916850802696942,-0.3616161616161615,-3.125
TinyStories validation,4,18,18,-0.44652777777777786,-0.44652777777777775,-0.14647107723194677,-0.4666666666666669,-3.90625
TinyStories validation,4,19,19,-0.06091269841269842,-0.060912698412698474,-0.008313519314268922,-0.12063492063492043,-0.78125
TinyStories validation,4,20,20,-0.17500000000000004,-0.175,-0.07945079276601018,-0.19999999999999996,-1.5625
TinyStories validation,4,21,21,0.11458333333333337,0.11458333333333331,0.035497181964573285,0.11111111111111116,0.78125
TinyStories validation,4,22,22,0.057638888888888795,0.057638888888888906,0.01575276575276577,0.0888888888888888,0.78125
TinyStories validation,4,23,23,-0.3805555555555554,-0.3805555555555556,-0.11831986555562266,-0.37777777777777755,-3.125
TinyStories validation,4,24,24,-0.21736111111111112,-0.24513888888888885,-0.10154715596950627,-0.1838383838383839,-1.5625
TinyStories validation,4,25,25,-0.1356060606060605,-0.16060606060606067,-0.07051699124835945,-0.10505050505050484,-0.78125
TinyStories validation,4,26,26,0.15328282828282813,0.15328282828282833,0.09064072062994478,0.12323232323232314,1.5625
TinyStories validation,4,27,27,-0.3979166666666666,-0.375189393939394,-0.13134409620783372,-0.3616161616161615,-3.125
TinyStories validation,4,28,28,-0.13482905982905974,-0.1348290598290598,-0.02674501424501423,-0.18461538461538463,-2.34375
TinyStories validation,4,29,29,-0.07828282828282829,-0.07828282828282826,-0.0030965674110835367,-0.11111111111111116,-0.78125
TinyStories validation,4,30,30,-0.2333333333333334,-0.23333333333333334,-0.06003764753764754,-0.25050505050505034,-2.34375
TinyStories validation,4,31,31,-0.16300505050505054,-0.1630050505050505,-0.062485835923335925,-0.1393939393939393,-0.78125
TinyStories validation,4,32,32,-0.13888888888888895,-0.1388888888888889,-0.05065488470660884,-0.11111111111111116,-0.78125
TinyStories validation,4,33,33,-0.2581439393939392,-0.2581439393939394,-0.12391612773362422,-0.2343434343434343,-2.34375
TinyStories validation,4,34,34,-0.25,-0.27499999999999997,-0.09864595613518025,-0.2727272727272727,-2.34375
TinyStories validation,4,35,35,0.08333333333333337,0.08333333333333331,0.02391304347826087,0.11111111111111116,0.78125
TinyStories validation,4,36,36,-0.2833333333333332,-0.2833333333333334,-0.12433380084151471,-0.25050505050505034,-2.34375
TinyStories validation,4,37,37,0.06388888888888888,0.06388888888888888,0.05152345454257,0.0888888888888888,0.78125
TinyStories validation,4,38,38,0.3171717171717172,0.29444444444444445,0.11127937338491334,0.28888888888888875,2.34375
TinyStories validation,4,39,39,-0.07986111111111116,-0.0798611111111111,-0.02751904716066285,-0.0505050505050505,0.0
TinyStories validation,4,40,40,0.26249999999999996,0.2625,0.08647705394097824,0.2606060606060606,2.34375
TinyStories validation,4,41,41,-0.17013888888888884,-0.1701388888888889,-0.03068630833976102,-0.2222222222222222,-2.34375
TinyStories validation,4,42,42,0.0020833333333332704,0.00018939393939398919,0.007069543359865912,-0.03232323232323253,-0.78125
TinyStories validation,4,43,43,-0.5694444444444443,-0.5694444444444444,-0.17561341896895893,-0.6121212121212118,-5.46875
TinyStories validation,4,44,44,-0.4532738095238096,-0.4532738095238096,-0.16258431843985838,-0.5044733044733043,-3.90625
TinyStories validation,4,45,45,-0.10624999999999996,-0.0835227272727273,-0.030408406907657268,-0.07272727272727275,-0.78125
TinyStories validation,4,46,46,0.2907738095238095,0.2907738095238096,0.13059711715071537,0.2317460317460316,1.5625
TinyStories validation,4,47,47,-0.40833333333333327,-0.4083333333333333,-0.1352048884069757,-0.4060606060606061,-3.90625
TinyStories validation,4,48,48,-0.2362103174603174,-0.2049603174603175,-0.0901320912124583,-0.2317460317460316,-1.5625
TinyStories validation,4,49,49,-0.13432400932400929,-0.13782051282051283,-0.05157868934196496,-0.12804972804972792,-1.5625
TinyStories validation,4,50,50,-0.06944444444444442,-0.06944444444444448,-0.03009555738004012,-0.016161616161616044,0.0
TinyStories validation,4,51,51,-0.03125,-0.03125,0.005014399851356377,0.0,0.0
TinyStories validation,4,52,52,-0.4652777777777777,-0.46527777777777785,-0.14165538165538163,-0.3999999999999998,-3.90625
TinyStories validation,4,53,53,0.6062499999999998,0.5835227272727274,0.21867755478379602,0.5393939393939391,4.6875
TinyStories validation,4,54,54,-0.2847222222222222,-0.2847222222222222,-0.11223940477313793,-0.2727272727272727,-2.34375
TinyStories validation,4,55,55,0.4097222222222222,0.4097222222222222,0.11839696223316916,0.3999999999999999,3.125
TinyStories validation,4,56,56,0.09166666666666667,0.11944444444444441,0.03109874626178974,0.0888888888888888,0.78125
TinyStories validation,4,57,57,-0.5540764790764791,-0.5790764790764791,-0.19945471932492534,-0.48831168831168825,-3.90625
TinyStories validation,4,58,58,0.02847222222222212,0.0034722222222222654,-0.022629310344827555,0.0,0.0
TinyStories validation,4,59,59,-0.5256944444444445,-0.5256944444444445,-0.1475839438339438,-0.4888888888888887,-3.90625
TinyStories validation,4,60,60,0.5138888888888887,0.513888888888889,0.17862294366326625,0.5010101010101007,4.6875
TinyStories validation,4,61,61,-0.2861111111111112,-0.23838383838383842,-0.0574287050023375,-0.3111111111111111,-2.34375
TinyStories validation,4,62,62,-0.032638888888888884,-0.05763888888888885,-0.03175938206110619,-0.0888888888888888,-0.78125
TinyStories validation,4,63,63,-0.39722222222222214,-0.39722222222222225,-0.13437207850444777,-0.4121212121212119,-3.90625
TinyStories validation,4,64,64,0.09444444444444433,0.0944444444444445,0.06170248209228721,0.016161616161616044,0.0
TinyStories validation,4,65,65,-0.02430555555555547,-0.02430555555555558,0.00998949167052618,-0.050505050505050386,-0.78125
TinyStories validation,4,66,66,0.2979166666666667,0.29791666666666666,0.09177335345813603,0.28888888888888875,2.34375
TinyStories validation,4,67,67,0.16666666666666663,0.16666666666666669,0.05005456759489016,0.16161616161616155,1.5625
TinyStories validation,4,68,68,0.16388888888888875,0.16388888888888892,0.06542866559551763,0.16161616161616155,1.5625
TinyStories validation,4,69,69,0.6047619047619048,0.6047619047619048,0.19476600985221676,0.5968253968253967,3.90625
TinyStories validation,4,70,70,0.022222222222222254,0.0222222222222222,0.028274959742351058,0.07272727272727275,0.78125
TinyStories validation,4,71,71,-0.07499999999999996,-0.07500000000000001,-0.03379515599343186,-0.07272727272727275,-0.78125
TinyStories validation,4,72,72,0.1659722222222222,0.14324494949494954,0.04652030811235483,0.21212121212121193,2.34375
TinyStories validation,4,73,73,0.3027777777777777,0.3277777777777778,0.08011450395071082,0.2727272727272727,2.34375
TinyStories validation,4,74,74,0.12083333333333346,0.09583333333333333,0.006240389420674272,0.11111111111111116,0.78125
TinyStories validation,4,75,75,0.2305555555555555,0.20782828282828283,0.05904425062691189,0.25050505050505034,2.34375
TinyStories validation,4,76,76,0.01388888888888884,0.013888888888888895,0.00909899436039592,0.016161616161616044,0.0
TinyStories validation,4,77,77,-0.29454365079365086,-0.2945436507936508,-0.06310718267240006,-0.34285714285714275,-2.34375
TinyStories validation,4,78,78,-0.08819444444444446,-0.08819444444444446,0.01120544525716935,-0.0888888888888888,-0.78125
TinyStories validation,4,79,79,-0.19999999999999984,-0.20000000000000007,-0.09166666666666666,-0.13939393939393918,-1.5625
TinyStories validation,4,80,80,0.06458333333333333,0.0595328282828283,0.018321678321678303,0.03838383838383841,0.0
TinyStories validation,4,81,81,-0.15277777777777768,-0.1527777777777778,-0.023421382257589135,-0.1777777777777776,-1.5625
TinyStories validation,4,82,82,0.16666666666666663,0.16666666666666669,0.06573591724363115,0.16161616161616155,1.5625
TinyStories validation,4,83,83,-0.13749999999999996,-0.1375,-0.04785768190940605,-0.13333333333333341,-1.5625
TinyStories validation,4,84,84,-0.2388888888888887,-0.23888888888888893,-0.060500354981239554,-0.2343434343434343,-2.34375
TinyStories validation,4,85,85,0.13731060606060608,0.11458333333333331,0.0520458376802382,0.11111111111111116,0.78125
TinyStories validation,4,86,86,-0.09166666666666667,-0.09166666666666667,-0.061044812415220945,-0.0888888888888888,-0.78125
TinyStories validation,4,87,87,0.0,0.0,0.01139206419378834,0.0,0.0
TinyStories validation,4,88,88,0.06875000000000009,0.06874999999999998,0.01353114478114481,0.06060606060606066,0.78125
TinyStories validation,4,89,89,-0.1673611111111113,-0.16736111111111107,-0.05926236917616229,-0.1838383838383839,-1.5625
TinyStories validation,4,90,90,0.45972222222222237,0.4597222222222222,0.1692148431278866,0.4222222222222223,3.125
TinyStories validation,4,91,91,-0.547222222222222,-0.5263888888888889,-0.17303890340974737,-0.5333333333333332,-5.46875
TinyStories validation,4,92,92,-0.19999999999999996,-0.2,-0.07738683105999448,-0.19999999999999996,-1.5625
TinyStories validation,4,93,93,0.36805555555555547,0.3680555555555556,0.11463908058735645,0.38383838383838376,3.90625
TinyStories validation,4,94,94,-0.15555555555555556,-0.15555555555555556,-0.03826172231344645,-0.1777777777777776,-1.5625
TinyStories validation,4,95,95,0.06955128205128208,0.09227855477855473,0.014539106026788429,0.06744366744366725,0.78125
TinyStories validation,4,96,96,-0.02013888888888893,-0.020138888888888873,-0.01403602782913127,-0.016161616161616044,0.0
TinyStories validation,4,97,97,-0.23402777777777783,-0.23402777777777778,-0.08337475742648154,-0.19999999999999996,-1.5625
TinyStories validation,4,98,98,-0.04513888888888884,-0.022411616161616188,-0.002259643115183091,-0.10101010101010088,-0.78125
TinyStories validation,4,99,99,-0.09930555555555542,-0.09930555555555559,-0.04283839364658329,-0.12323232323232314,-1.5625
TinyStories validation,4,100,100,0.3368055555555557,0.3368055555555555,0.15264134014134018,0.3333333333333335,2.34375
TinyStories validation,4,101,101,-0.03888888888888897,-0.03888888888888886,0.010556311643268187,-0.0888888888888888,-0.78125
TinyStories validation,4,102,102,-0.2729166666666668,-0.27291666666666664,-0.08055213464696223,-0.28888888888888875,-2.34375
TinyStories validation,4,103,103,-0.6268037518037517,-0.6268037518037518,-0.23103373400137758,-0.5740259740259741,-6.25
TinyStories validation,4,104,104,0.11944444444444446,0.11944444444444446,0.07138567935891046,0.0888888888888888,0.78125
TinyStories validation,4,105,105,0.635218253968254,0.635218253968254,0.19497403017739617,0.7044733044733043,5.46875
TinyStories validation,4,106,106,0.11458333333333337,0.11458333333333331,0.023644179894179898,0.11111111111111116,0.78125
TinyStories validation,4,107,107,0.02499999999999991,0.025000000000000022,0.002262777532174076,0.0,0.0
TinyStories validation,4,108,108,0.3972222222222222,0.3763888888888889,0.12013763197586726,0.42222222222222217,3.90625
TinyStories validation,4,109,109,-0.11944444444444446,-0.11944444444444446,-0.03058748403575992,-0.0888888888888888,-0.78125
TinyStories validation,4,110,110,-0.5645833333333332,-0.5645833333333334,-0.20148670027702284,-0.523232323232323,-4.6875
TinyStories validation,4,111,111,-0.39236111111111116,-0.3923611111111111,-0.11110403579572221,-0.38383838383838387,-3.125
