domain,gamma,mean_accepted_prefix_H1,mean_accepted_prefix_H8,mean_accepted_beyond_first_H1,mean_accepted_beyond_first_H8,acceptance_rate_pos2plus_H1,acceptance_rate_pos2plus_H8,position_1_survival_H1,position_1_survival_H8,emitted_tokens_per_round_H1,emitted_tokens_per_round_H8,rounds_per_100_tokens_H1,rounds_per_100_tokens_H8,h8_minus_h1_mean_accepted_prefix,h8_minus_h1_mean_accepted_beyond_first,h8_minus_h1_acceptance_rate_pos2plus,h8_minus_h1_position_1_survival,h8_minus_h1_emitted_tokens_per_round,h1_minus_h8_rounds_per_100_tokens
TinyStories validation,2,1.7407346671039685,1.661778769525024,0.7449983601180715,0.6671979598342366,0.7675282986991045,0.6886000987004441,0.995736306985897,0.9945808096907873,2.6867825516562807,2.6114121772394006,37.21923828125,38.29345703125,-0.07895589757894461,-0.07780040028383495,-0.07892819999866041,-0.0011554972951096643,-0.0753703744168801,-1.07421875
TinyStories validation,4,2.500941225685003,2.435960591133005,1.5049152896883498,1.4392446633825944,0.5330024446255278,0.5118995473791794,0.9960259359966535,0.9967159277504105,3.4268981384647565,3.3628899835796386,29.180908203125,29.736328125,-0.06498063455199832,-0.06567062630575538,-0.021102897246348395,0.0006899917537570577,-0.06400815488511791,-0.555419921875
TinyStories validation,8,2.8273266423357666,2.947517062838315,1.83257299270073,1.951988703224288,0.2975555555555556,0.31592579895630973,0.9947536496350365,0.9955283596140269,3.7372262773722627,3.855966109672864,26.7578125,25.933837890625,0.12019042050254836,0.11941571052355804,0.01837024340075416,0.0007747099789903178,0.11873983230060148,0.823974609375
WikiText-103 test OOD,2,1.6923697370543636,1.6332807570977919,0.697693176318761,0.63801261829653,0.718796742562739,0.6542131651301957,0.9946765607356025,0.9952681388012619,2.643006936602678,2.5842271293375396,37.835693359375,38.6962890625,-0.0590889799565717,-0.059680558022231045,-0.06458357743254328,0.0005915780656593483,-0.058779807265138206,-0.860595703125
WikiText-103 test OOD,4,2.359911628841133,2.293273013375295,1.3639284996987346,1.2993705743509048,0.48248667850799287,0.4595158597662771,0.9959831291423981,0.9939024390243902,3.2906206065474994,3.222659323367427,30.389404296875,31.0302734375,-0.0666386154658376,-0.06455792534782989,-0.02297081874171575,-0.002080690118007822,-0.06796128318007222,-0.640869140625
WikiText-103 test OOD,8,2.637762844136137,2.681159420289855,1.6423151961846953,1.6870882740447959,0.2668357283741899,0.27319276037407103,0.9954476479514416,0.9940711462450593,3.551701712551485,3.5977162933684674,28.155517578125,27.79541015625,0.04339657615371806,0.04477307786010054,0.006357031999881135,-0.0013765017063822604,0.04601458081698251,0.360107421875
