domain,gamma,h1_emitted_tokens_per_round,h8_emitted_tokens_per_round,relative_emitted_token_gain_percent,relative_round_reduction_percent,emitted_gain_ci_lower,emitted_gain_ci_upper,round_reduction_ci_lower,round_reduction_ci_upper,decision
TinyStories validation,2,2.6867825516562807,2.6114121772394006,-2.80522792476889,-2.8861921941620206,-0.09221562291874791,-0.05744864510489509,-1.324462890625,-0.830078125,stable H8 degradation
TinyStories validation,4,3.4268981384647565,3.3628899835796386,-1.8678160919540325,-1.9033674963396778,-0.103735648032523,-0.014112293956043947,-0.921783447265625,-0.1708984375,stable H8 degradation
TinyStories validation,8,3.7372262773722627,3.855966109672864,3.177218168980938,3.079379562043796,0.06804694871101122,0.24735086961649455,0.244140625,1.385498046875,stable H8 efficiency gain
WikiText-103 test OOD,2,2.643006936602678,2.5842271293375396,-2.223974763406932,-2.274560412969834,-0.0748735986235986,-0.03923407148407149,-1.130642361111111,-0.5902777777777779,stable H8 degradation
WikiText-103 test OOD,4,3.2906206065474994,3.222659323367427,-2.0653029110936254,-2.108857200241012,-0.10108954933954935,-0.006513040971374363,-1.0026041666666667,-0.15625000000000003,stable H8 degradation
WikiText-103 test OOD,8,3.551701712551485,3.5977162933684674,1.2955643390426044,1.2789941469759376,-0.004608220483220488,0.17551148542815195,-0.2452799479166666,0.9678819444444445,inconclusive
